ID,Nuka Special,Price,Brand,Quantity,Size,ItemType
3000,Nuka-Cola,2.50,Sunrise Wholesale,200,20oz,D
3001,Nuka-Cola Quantum,2.50,Sunrise Wholesale,200,20oz,D
3002,Nuka-Cola Cherry,2.50,Sunrise Wholesale,200,20oz,D
3003,Sunset Sarsaparilla,2.50,Sunrise Wholesale,200,20oz,D
3004,Nuka-Cola Victory,2.50,Sunrise Wholesale,200,20oz,D
3005,Nuka-Cola Orange,2.50,Sunrise Wholesale,200,20oz,D
3006,Vim!,2.50,Sunrise Wholesale,200,16oz,D
3007,Fizz Cola,2.50,Sunrise Wholesale,200,20oz,D
3008,Atomic Iced Tea,2.50,Sunrise Wholesale,200,16oz,D
3009,Nuka Herbal Tea,2.50,Sunrise Wholesale,200,16oz,D
3010,Nuka-Crisps,3.50,Sunrise Wholesale,200,M,NR
3011,BlamCo Tortillas,3.50,Sunrise Wholesale,200,M,NR
3012,Fancy Cheese Puffs,3.50,Sunrise Wholesale,200,M,NR
3013,Salted Retro Pretzels,3.50,Sunrise Wholesale,200,M,NR
3014,Butter Blast Popcorn,3.50,Sunrise Wholesale,200,L,NR
3015,Nuka Granola Bars,3.50,Sunrise Wholesale,200,1pk,NR
3016,Atomic Trail Mix,3.50,Sunrise Wholesale,200,M,NR
3017,Roasted Fallout Nuts,3.50,Sunrise Wholesale,200,M,NR
3018,Fancy Lads Cookies,3.50,Sunrise Wholesale,200,12pk,NR
3019,Sugar Bombs Wafers,3.50,Sunrise Wholesale,200,M,NR
3020,Thor's Ale,2.50,Sunrise Wholesale,200,20oz,D
3021,Nectar of the Divine,2.50,Sunrise Wholesale,200,16oz,D
3022,Odin's Golden Mead,2.50,Sunrise Wholesale,200,20oz,D
3023,Mjolnir Munchies,3.50,Sunrise Wholesale,200,M,NR
3024,Asgardian Crisps,3.50,Sunrise Wholesale,200,M,NR
Totals,14900.00
