ID,Product Name,Price,Brand,Quantity,Size,ItemType
3000,Cola Classic,2.50,Sunrise Wholesale,200,20oz,D
3001,Diet Cola Classic,2.50,Sunrise Wholesale,200,20oz,D
3002,Citrus Twist Classic,2.50,Sunrise Wholesale,200,20oz,D
3003,Ginger Brew Classic,2.50,Sunrise Wholesale,200,20oz,D
3004,Orange Spark Classic,2.50,Sunrise Wholesale,200,20oz,D
3005,Root Brew Classic,2.50,Sunrise Wholesale,200,20oz,D
3006,Citrus Energy Classic,2.50,Sunrise Wholesale,200,16oz,D
3007,Berry Sports Classic,2.50,Sunrise Wholesale,200,20oz,D
3008,Black Tea Classic,2.50,Sunrise Wholesale,200,16oz,D
3009,Herbal Iced Tea Classic,2.50,Sunrise Wholesale,200,16oz,D
3010,Potato Chips Original,3.50,Sunrise Wholesale,200,M,NR
3011,Tortilla Chips Original,3.50,Sunrise Wholesale,200,M,NR
3012,Cheese Puffs Original,3.50,Sunrise Wholesale,200,M,NR
3013,Salted Pretzels Original,3.50,Sunrise Wholesale,200,M,NR
3014,Butter Popcorn Original,3.50,Sunrise Wholesale,200,L,NR
3015,Granola Bars Original,3.50,Sunrise Wholesale,200,1pk,NR
3016,Trail Mix Original,3.50,Sunrise Wholesale,200,M,NR
3017,Roasted Peanuts Original,3.50,Sunrise Wholesale,200,M,NR
3018,Chocolate Chip Cookies Original,3.50,Sunrise Wholesale,200,12pk,NR
3019,Vanilla Wafers Original,3.50,Sunrise Wholesale,200,M,NR
Totals,12000.00
